rating,title,text,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase
5, Great gift, Having Amazon money is always good.,B00IX1I3G6,B00IX1I3G6,AHZ6XMOLEWA67S3TX7IWEXXGWSOA,1549870000000.0,0,True
5, amazon gift card, Always the perfect gift.  I have never given one and had someone seem or act disappointed.  Just the opposite.  They are thrilled and excited to have a bit of a spree.  Always the perfect size and color!  Arrives in 1 day in most cases.  So its never too late!  Lots of cards to chose from... thank you... birthday... wedding..baby..  and many that work for many occasions...,B005ESMMWW,B005ESMMWW,AFZUK3MTBIBEDQOPAK3OATUOUKLA,1599880000000.0,0,False
5, perfect gift, When you have a person who is hard to shop for.. an amazon gift card is P E R F E C T.  Man or woman...  No matter what their hobby... lifestyle.. or age.  All you have to do is pick the $.  Dont forget to mention that it is a GIFT when you check out - you will have some gift card options.  Ive ordered many of these over years.  They are always received with glee.  Woo hoo!  If youre looking for a great fit for me - this is just my size!  )  Best to all!,B01K8RIM5Y,B005S28ZES,AFZUK3MTBIBEDQOPAK3OATUOUKLA,1535940000000.0,27,True
5, Nice looking,The tin is a nice touch and pretty large.  Its about 434 in diameter and about 1234 thick.  I added a pretty red ribbon and it is perfect.  Who doesnt love shopping on Amazon? Arrived quickly I have Prime... but I think they ship the gift cards out SUPER fast... like over night. In case you need it for a FAST gift.,B0091JKVU0,B00ADR2LV6,AFZUK3MTBIBEDQOPAK3OATUOUKLA,1418440000000.0,0,False
1, Not $10 Gift Cards,I bought this pack of Starbucks Gift cards in 2019. Ive given them to friends and I gave 2 to my daughter.My daughter used one recently and it had 6.52 on the card not $10.00. She had the cashier check the balance of the other card and it had $5.32 on it! She had forgotten that she had these gift cards so yes 2 years later decided to use the when she found them! Do they decline in value? And then both had random amounts on them! Im embarrassed now to have given them as gifts! Friends receiving the gift card arent going to tell you that werent able to cover their order with the card you gave them!!!,B00FTGTM5E,B00FTGTIOE,AH5L7ILVA6HYLZOUZIQAWNHVVK3A,1638070000000.0,2,True
5, Cute!, That snowman tin is adorable,B072L7GTF5,B00ADR2LV6,AECABX3OO3GK7FCPZLFM3LT2E6UA,1608660000000.0,0,True
5, Easy gift, Great and easy gift,B00IX1I3G6,B00IX1I3G6,AFSCQMP2EPYLGJN7OBTMEXCBE2OQ,1602100000000.0,0,True
5, Great gift,Super cute nice quality tin Your choose amount,B072P5VV4D,B00ADR2LV6,AF4XAUOI5XPGWHCPOTORKBIJSRDA,1551250000000.0,0,True
5, Gifts for my two granddaughters, They love it !!,B072P5VV4D,B00ADR2LV6,AGJXTLEOLLTIX5AAGFPBZ7CNNVOQ,1675390000000.0,0,True
5," Great for saying u201cthank youu201d to the mail person farrier, yard man, etc",So many people Make your life better so remember them!,B071NM2PNL,B071X4ZX3X,AG7QDTQYHFOIXFWSVUUBZOEIW2NA,1674310000000.0,0,True
5, Convenient safe and perfect gift, My grandson inlaw loves his gift cards so its the perfect gift for Christmas,B01GKWEH64,B01GKWEEQM,AGVVUU3QRQBHNASSGI5YQLPYOI2Q,1574000000000.0,2,True
5, Giftcard," What can you say about a gift card? Well, it was valid. Its a good gift for someone who doesnt like to cook. Arrived promptly.",B084RMVP59,B07YYWDPSM,AH4O5W3EM4CKQGHMBVTSPCJRYF7Q,1597500000000.0,1,True
5, Simple giftcard!, Easy way to gift money for birthdays.,B07HJHK8Y5,B07HJHK8Y5,AG3BG6PCNVQKVYNWHT7IJHEKUQAA,1622790000000.0,0,True
5, Great giftcard, Great gift for online shoppers!,B0866T1TQJ,B077N4CNVJ,AG3BG6PCNVQKVYNWHT7IJHEKUQAA,1622790000000.0,0,True
5, Easy.., Reloading is easy. Shopping is easy. Amazon is easy.,B00IX1I3G6,B00IX1I3G6,AFO3G62P2JXCNMWZTAIB56KPG56A,1466370000000.0,0,True
